Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,,,,,
Median,1.8,1.6,1.7,1.8,1.8,2.0,2.1,,,,,
Mean,1.7,1.6,1.7,1.8,1.7,2.1,2.0,,,,,
Mode,1.8,1.5,1.6,1.7,1.5,2.0,2.1,,,,,
Min,1.3,1.4,1.2,1.5,1.4,1.8,1.9,,,,,
Max,1.9,2.1,2.1,2.4,2.0,2.3,2.1,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,,,,,
BMO,--,1.5,2.0,--,1.4,2.0,2.1,,,,,
BNP Paribas,--,--,1.6,--,--,--,--,,,,,
Barclays,--,1.7,1.5,2.4,1.8,2.0,2.0,,,,,
Berenberg,--,1.5,1.4,1.9,1.8,2.2,1.9,,,,,
Berliner Spark,1.9,2.1,1.7,--,1.5,2.1,2.1,,,,,
CA CIB,1.5,1.7,1.7,1.6,--,1.8,1.9,,,,,
CaixaBank,--,--,--,1.7,1.5,--,--,,,,,
Citigroup,1.8,1.5,--,--,--,2.2,2.0,,,,,
Commerzbank UK,--,--,1.6,--,--,1.9,--,,,,,
DZ Bank,--,--,1.6,--,1.8,2.1,2.1,,,,,
DekaBank,1.8,1.9,1.9,2.0,--,2.2,2.1,,,,,
Deutsche Bank,--,--,--,--,--,--,2.1,,,,,
Eurozone Advisor,1.9,--,--,--,--,--,2.1,,,,,
HSBC Hldg,--,--,1.6,1.7,1.7,--,--,,,,,
Helaba,1.6,--,1.7,1.8,1.9,1.9,2.1,,,,,
IHS Global Insight,1.8,--,2.1,2.1,--,--,--,,,,,
IHS Markit,--,--,--,--,2.0,2.2,2.1,,,,,
ING Fin Mkts,--,--,--,--,--,2.0,1.9,,,,,
Intesa Sanpaolo,1.3,--,1.8,--,--,--,--,,,,,
Julius Baer,--,1.6,--,1.8,1.7,2.2,2.1,,,,,
NORD/LB,1.6,1.4,1.4,--,1.5,1.9,2.1,,,,,
Oppenheim,1.8,--,1.8,--,--,--,--,,,,,
Rheinisch Westfa,1.7,1.6,1.7,1.9,2.0,2.0,2.0,,,,,
Societe Generale,--,--,1.2,1.6,1.8,2.3,2.0,,,,,
Uni Credit,1.8,1.5,1.3,1.5,1.9,--,2.0,,,,,
WH,1.7,--,1.8,1.7,1.5,2.0,2.0,,,,,
,,,,,,,,,,,,
