Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q4 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,,,,,,
Median,0.4,0.4,0.5,0.5,0.5,0.4,,,,,,
Mean,0.4,0.4,0.5,0.5,0.5,0.5,,,,,,
Mode,0.4,0.4,0.5,0.5,0.4,0.4,,,,,,
Min,0.2,0.3,0.2,0.4,0.3,0.3,,,,,,
Max,0.5,0.5,0.6,0.7,0.6,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,22 ,,,,,,
Contributor,14-Jul-2017,19-Oct-2017,19-Jan-2018,16-Apr-2018,18-Jul-2018,15-Oct-2018,,,,,,
BMO,--,--,--,--,--,0.5,,,,,,
Banque Pictet,--,0.4,--,--,--,--,,,,,,
Barclays,0.5,0.5,0.6,0.7,0.6,0.4,,,,,,
BayernLB,0.4,0.4,--,0.4,0.4,--,,,,,,
Berenberg,0.4,0.5,0.5,0.5,0.6,0.4,,,,,,
Berliner Spark,0.5,0.5,0.5,0.5,0.4,0.4,,,,,,
CA CIB,0.5,0.5,0.5,--,0.5,0.5,,,,,,
Citigroup,0.3,--,--,--,--,0.4,,,,,,
Commerzbk,--,0.4,--,--,0.3,--,,,,,,
Credit Suisse,0.4,0.4,--,--,--,--,,,,,,
DIW Berlin,0.4,0.3,--,0.4,0.4,0.6,,,,,,
DZ Bank,0.4,0.4,--,0.5,0.3,0.3,,,,,,
Daiwa Cap Mkts,--,--,0.5,0.5,0.5,--,,,,,,
DekaBank,0.3,0.4,0.4,--,0.4,0.6,,,,,,
Deutsche Bank,--,--,0.5,--,--,0.4,,,,,,
Eurozone Advisor,0.3,0.5,--,0.5,--,0.4,,,,,,
HSBC Hldg,0.4,0.4,0.5,0.6,--,--,,,,,,
Helaba,--,0.5,0.5,0.5,0.5,0.4,,,,,,
IHS Global Insight,--,0.5,0.5,--,--,--,,,,,,
IHS Markit,--,--,--,0.5,0.4,0.4,,,,,,
Julius Baer,0.2,--,0.2,0.5,--,0.5,,,,,,
LBBW,--,--,--,0.5,0.5,0.7,,,,,,
NORD/LB,0.4,0.4,--,0.5,0.5,0.7,,,,,,
Oppenheim,--,0.4,--,--,--,--,,,,,,
Oxford Econ,--,--,--,--,--,0.4,,,,,,
Postbank,0.3,--,--,--,--,0.5,,,,,,
Rheinisch Westfa,0.4,0.5,0.5,0.5,0.4,0.4,,,,,,
Societe Generale,--,--,--,0.5,--,0.5,,,,,,
Uni Credit,0.4,0.4,0.5,0.5,--,0.5,,,,,,
WH,--,0.5,0.4,0.4,0.5,0.4,,,,,,
,,,,,,,,,,,,
